runner_id,age,gender,previous_marathon_count,training_program,personal_best_minutes,weekly_mileage_km
R021023,37,Male,5,Intermediate,232,27.2
R031679,26,Male,2,Beginner,259,20
R077696,63,Female,2,Advanced,272,20
R045703,23,Female,1,Advanced,202,43.8
R093972,50,Male,0,Advanced,,20
R008158,22,Female,2,Intermediate,257,23.3
R018433,39,Male,3,Advanced,211,25.7
R074868,51,Female,1,Intermediate,256,29.9
R045637,49,Female,0,Beginner,,20
R022694,35,Female,1,Intermediate,244,20
R049550,63,Male,1,Advanced,224,36.4
R021266,43,Female,2,Intermediate,260,47.6
R050960,52,Male,1,Intermediate,273,36.9
R056367,55,Male,3,Beginner,307,20
R076768,30,Male,4,Beginner,295,20
R038778,29,Male,2,Advanced,234,45.1
R065243,32,Female,4,Advanced,246,60.7
R089219,38,Female,1,Advanced,233,20
R013048,31,Female,2,Beginner,270,50
R075441,55,Male,1,Beginner,304,34
R007762,33,Female,5,Intermediate,219,50.8
R078935,46,Female,1,Beginner,281,20
R017091,60,Female,3,Beginner,307,20
R064154,19,Male,3,Beginner,296,30.5
R066962,62,Female,5,Intermediate,271,43.7
R045853,53,Female,1,Intermediate,286,20
R063766,63,Male,2,Beginner,295,108.3721057
R021056,34,Female,1,Intermediate,273,28.3
R050134,41,Female,2,Intermediate,230,20
R049129,44,Male,0,Beginner,,50.3
R050001,52,Female,2,Beginner,236,20
R041737,39,Male,2,Beginner,255,37.9
R055246,33,Male,0,Beginner,,20
R055407,31,Female,1,Intermediate,242,35
R016128,37,Male,1,Beginner,232,20
R053061,24,Male,2,Intermediate,254,21.1
R094826,25,Male,1,Intermediate,236,60.6
R023304,46,Female,1,Beginner,252,33.3
R080223,30,Male,2,Advanced,244,31.2
R076475,42,Male,3,Intermediate,245,34.6
R006705,62,Female,0,Beginner,,37
R076954,27,Male,2,Intermediate,226,20.8
R065677,36,Female,2,Advanced,190,21.7
R014779,41,Male,4,Beginner,312,29.7
R072677,20,Female,2,Beginner,277,26.9
R069526,36,Female,1,Beginner,273,20
R018764,62,Female,2,Intermediate,260,20
R046967,60,Male,2,Intermediate,198,29.3
R011246,38,Male,3,Advanced,225,52.3
R007743,29,Male,2,Intermediate,246,20
R083767,60,Male,4,Beginner,278,35.7
R097699,51,Male,1,Intermediate,245,118.2097756
R033249,44,Male,3,Beginner,276,27.2
R060630,59,Female,1,Beginner,286,20
R079463,40,Male,4,Intermediate,247,20
R029181,64,Female,6,Beginner,272,20
R020306,29,Female,3,Beginner,297,51.3
R019173,32,Male,1,Beginner,243,20
R028140,34,Female,0,Beginner,,24.2
R056600,32,Male,2,Intermediate,248,34
R089922,37,Female,0,Intermediate,,44.5
R010498,32,Male,3,Beginner,279,54.1
R017517,50,Female,3,Intermediate,248,20
R061726,52,Male,1,Advanced,215,39.8
R041299,65,Male,1,Beginner,288,50
R064554,34,Male,1,Beginner,240,20
R053281,46,Male,2,Intermediate,232,20
R091106,36,Male,0,Beginner,,20
R093122,47,Non-binary,0,Advanced,,20
R048809,63,Male,0,Beginner,,20
R087150,52,Male,4,Advanced,202,20
R007373,24,Female,0,Intermediate,,20
R042547,26,Female,2,Intermediate,218,30
R010254,40,Female,4,Beginner,263,20
R014055,34,Male,3,Advanced,203,24.2
R093830,23,Male,1,Beginner,263,20
R032926,34,Female,1,Intermediate,246,28.2
R062056,57,Female,3,Beginner,262,20
R007996,62,Male,2,Beginner,301,29.4
R018275,62,Male,1,Advanced,216,47
R052530,58,Female,4,Intermediate,235,20
R060704,18,Female,1,Beginner,254,20
R074542,37,Male,4,Beginner,278,20
R047881,36,Male,1,Intermediate,227,53.7
R073437,63,Male,2,Beginner,296,20
R084831,43,Male,1,Beginner,272,20
R064214,35,Non-binary,2,Intermediate,263,20
R055317,45,Male,2,Advanced,240,35
R038871,20,Male,1,Advanced,247,29.4
R030967,39,Male,3,Advanced,272,38.3
R062723,61,Non-binary,5,Intermediate,237,25.2
R080210,41,Male,1,Advanced,217,21.2
R016798,20,Male,1,Intermediate,234,20
R077076,19,Male,3,Advanced,226,61.4
R003127,29,Male,1,Beginner,258,31.9
R092287,48,Male,0,Beginner,,20
R024623,26,Male,2,Intermediate,241,20
R080925,44,Female,2,Beginner,281,20
R099566,47,Female,1,Advanced,196,34
R028677,59,Female,2,Beginner,244,20
R037009,41,Female,2,Beginner,255,33.4
R082457,22,Female,2,Beginner,294,20
R065679,43,Male,2,Beginner,279,20
R032636,31,Female,5,Beginner,279,25.6
R050127,65,Male,1,Advanced,244,20
R047584,63,Male,4,Beginner,289,34.8
R017598,62,Male,1,Intermediate,237,20
R037684,48,Female,3,Intermediate,273,20
R022389,29,Female,3,Beginner,293,38.3
R088348,41,Female,1,Beginner,275,20
R098899,41,Female,2,Beginner,270,20
R071618,40,Male,2,Beginner,287,20
R058082,55,Male,2,Beginner,279,20
R086532,47,Male,3,Beginner,289,20
R009543,25,Male,1,Beginner,280,34.5
R008538,43,Male,2,Intermediate,277,52.6
R067236,19,Female,3,Beginner,285,20
R065269,65,Female,3,Intermediate,247,20
R048723,59,Male,3,Beginner,325,20
R091581,64,Female,1,Beginner,260,20
R042378,50,Male,6,Beginner,327,20
R078088,63,Male,4,Advanced,224,36.8
R070526,63,Male,2,Beginner,238,36.1
R072306,63,Female,2,Beginner,292,23.8
R090477,33,Female,3,Advanced,235,34.6
R010460,44,Male,3,Beginner,297,20
R060537,60,Male,3,Advanced,230,31.5
R034519,65,Male,1,Intermediate,209,20
R012007,24,Female,3,Beginner,279,20
R057413,34,Female,1,Beginner,276,38
R038066,31,Male,1,Advanced,226,20
R032532,21,Male,2,Intermediate,265,30.3
R070937,65,Male,4,Beginner,278,30.3
R055693,65,Male,1,Advanced,230,20
R042623,50,Female,0,Intermediate,,41.1
R007875,55,Female,0,Advanced,,20
R095486,49,Female,5,Beginner,296,20
R021423,40,Female,4,Beginner,291,20
R074427,41,Male,1,Advanced,240,20
R095590,27,Female,1,Intermediate,266,24
R067146,58,Male,1,Intermediate,273,20
R038909,45,Male,6,Intermediate,254,113.2273742
R050868,31,Male,1,Beginner,254,20
R079512,23,Female,1,Advanced,228,27
R025856,58,Female,3,Intermediate,251,38.6
R065961,18,Female,2,Beginner,261,20
R035304,55,Female,2,Intermediate,240,25.9
R031563,48,Male,4,Intermediate,246,35.1
R066363,60,Male,3,Intermediate,236,24
R042712,50,Male,3,Intermediate,256,31
R024301,60,Male,1,Beginner,240,20
R022502,49,Female,1,Advanced,183,65.1
R046272,52,Female,2,Beginner,283,20
R004328,51,Male,2,Beginner,237,20
R065473,45,Male,3,Beginner,276,27.7
R095534,34,Female,1,Intermediate,242,20
R030538,53,Male,3,Advanced,197,61.4
R040487,65,Male,1,Advanced,223,20
R013211,42,Female,0,Beginner,,20
R052696,60,Female,2,Beginner,266,32.8
R030752,61,Male,3,Beginner,297,29.8
R001323,37,Male,3,Beginner,244,20
R030072,39,Female,3,Beginner,234,114.1404506
R082953,64,Female,2,Beginner,264,29.6
R074343,40,Male,1,Beginner,332,112.687245
R009415,63,Male,1,Beginner,278,23.2
R070821,64,Female,1,Advanced,268,23.6
R073794,46,Male,4,Beginner,325,20
R015718,64,Male,3,Advanced,229,21
R002454,55,Female,0,Beginner,,22
R079050,35,Female,2,Intermediate,258,26.4
R029138,26,Female,2,Intermediate,194,31.7
R071971,53,Male,5,Advanced,195,106.525356
R076938,42,Female,2,Beginner,301,28.4
R013698,63,Male,1,Beginner,242,20
R011466,43,Male,2,Beginner,312,42.9
R063284,55,Male,1,Beginner,274,21.7
R017356,44,Male,2,Beginner,317,20
R001224,39,Female,3,Advanced,228,24.4
R093484,27,Female,2,Intermediate,270,20
R032357,58,Male,4,Intermediate,224,45.1
R095842,57,Male,1,Beginner,271,20
R040108,33,Female,2,Beginner,299,20
R091473,40,Female,3,Beginner,294,24.5
R026385,29,Male,0,Intermediate,,35.8
R070265,57,Female,4,Beginner,302,21.1
R094544,49,Female,2,Intermediate,219,44
R066865,33,Male,2,Intermediate,258,20
R007246,49,Female,2,Beginner,296,20
R093254,19,Female,2,Intermediate,257,20
R027949,62,Female,2,Beginner,286,30.9
R027344,29,Non-binary,5,Advanced,224,56
R023861,54,Female,0,Beginner,,35
R073086,40,Male,0,Beginner,,20
R008619,51,Female,0,Beginner,,39.9
R036441,33,Male,3,Beginner,323,20
R096362,22,Female,1,Intermediate,261,20
R039180,33,Male,1,Beginner,266,51.8
R075906,36,Male,2,Advanced,225,20
R034105,33,Female,4,Advanced,210,38.8
R058581,36,Non-binary,3,Beginner,287,20
R094431,63,Male,1,Beginner,247,20
R076994,34,Female,2,Beginner,309,20
R044305,47,Male,1,Beginner,302,28.5
R045526,62,Female,1,Intermediate,222,26.9
R040974,51,Female,3,Beginner,261,21.7
R045884,38,Female,0,Beginner,,20
R060263,54,Male,3,Beginner,307,30
R066459,54,Female,2,Beginner,270,36.3
R095667,65,Female,1,Advanced,186,116.0041776
R002138,57,Female,4,Intermediate,272,20
R068094,51,Male,5,Beginner,280,20
R099345,59,Female,1,Beginner,286,20
R002460,62,Female,4,Beginner,316,20
R091949,38,Female,2,Beginner,270,20
R036632,36,Male,7,Advanced,227,37.2
R009647,34,Male,0,Beginner,,20
R051018,62,Male,0,Intermediate,,20
R030593,31,Female,2,Beginner,258,20
R068387,39,Male,3,Beginner,252,20
R026838,64,Male,1,Intermediate,273,25.6
R099624,39,Male,4,Beginner,270,74.3
R046145,60,Male,6,Beginner,277,20
R042962,45,Male,2,Beginner,298,20
R056982,45,Female,1,Advanced,252,38.6
R082796,51,Female,3,Beginner,309,29.3
R060112,41,Male,2,Intermediate,264,41
R048719,64,Male,5,Beginner,282,20
R038422,39,Male,0,Intermediate,,20
R001128,22,Male,2,Intermediate,265,75.4
R039728,63,Male,1,Beginner,251,36.2
R008717,46,Male,4,Beginner,285,20
R081462,32,Male,4,Beginner,279,52.8
R043491,28,Female,3,Intermediate,208,26.2
R082630,20,Female,0,Beginner,,20
R078554,37,Female,2,Advanced,234,20
R099714,64,Male,1,Beginner,269,20
R057913,42,Female,3,Beginner,323,27.8
R033022,46,Female,2,Beginner,251,24.6
R098616,18,Female,4,Advanced,218,20
R059789,42,Male,4,Beginner,336,112.8335085
R050460,25,Male,3,Beginner,277,20
R035608,65,Male,1,Beginner,293,32.6
R049665,55,Male,2,Beginner,292,47.3
R045218,27,Female,1,Intermediate,256,42.9
R073706,25,Male,0,Advanced,,30.8
R051376,34,Female,3,Beginner,269,20
R020800,46,Female,2,Beginner,313,62.5
R059704,65,Male,1,Beginner,308,20
R050129,40,Male,3,Intermediate,240,20.3
R075983,20,Female,0,Intermediate,,20
R028304,53,Non-binary,1,Advanced,204,57.5
R031625,58,Female,5,Beginner,301,23.4
R041458,20,Non-binary,0,Beginner,,20
R053200,59,Female,2,Intermediate,198,23.8
R087955,33,Female,3,Beginner,247,20
R022353,20,Female,0,Intermediate,,29.8
R065798,48,Male,2,Beginner,303,117.5988669
R069585,61,Female,0,Advanced,,51.4
R068133,43,Male,0,Beginner,,20
R000241,37,Male,1,Beginner,255,27.7
R024253,34,Male,0,Intermediate,,20
R052838,58,Non-binary,3,Beginner,284,20
R026552,42,Male,1,Beginner,264,20
R081432,30,Female,0,Advanced,,42.4
R099582,58,Female,0,Intermediate,,20
R043717,41,Female,0,Beginner,,30.2
R033034,20,Male,1,Beginner,288,29.4
R046804,33,Male,0,Beginner,,20
R084778,47,Female,4,Intermediate,273,21.2
R063544,54,Male,3,Advanced,204,39.8
R082456,39,Male,1,Intermediate,272,53.6
R071524,34,Male,1,Advanced,216,46.4
R076297,19,Female,4,Beginner,284,20
R051824,41,Female,3,Beginner,229,30.9
R007553,49,Male,4,Beginner,275,30.8
R050508,29,Female,1,Intermediate,220,40.5
R002946,38,Male,1,Beginner,307,35.9
R087870,43,Male,1,Intermediate,228,46.3
R041316,32,Female,2,Advanced,223,75.6
R050595,28,Female,2,Advanced,268,37.6
R072416,51,Female,3,Beginner,259,20
R033395,25,Female,1,Intermediate,276,24.4
R066316,58,Female,0,Beginner,,25.1
R053349,64,Non-binary,2,Intermediate,297,29.3
R081306,28,Female,2,Beginner,286,33.5
R061699,43,Male,3,Beginner,247,27.8
R090240,64,Male,1,Beginner,289,44.4
R065162,39,Female,0,Beginner,,35.5
R005534,41,Non-binary,3,Advanced,263,60.5
R096373,43,Female,0,Advanced,,42.3
R098511,43,Female,2,Beginner,268,20
R042914,41,Female,1,Intermediate,257,33.9
R037507,48,Male,3,Beginner,225,20
R065514,46,Female,2,Beginner,288,31.7
R029316,29,Female,0,Intermediate,,22.6
R017320,46,Male,1,Beginner,210,20
R017199,46,Male,3,Advanced,197,45.7
R004390,54,Male,2,Advanced,243,42.3
R005484,45,Male,1,Intermediate,238,32.4
R011586,19,Female,2,Advanced,244,21.6
R002001,29,Female,2,Intermediate,277,106.6420595
R093906,18,Male,1,Beginner,246,49.3
R006499,29,Female,3,Beginner,243,46.1
R038466,59,Female,0,Beginner,,20
R049163,50,Female,2,Advanced,200,36
R053209,45,Male,3,Advanced,224,23.2
R066297,19,Female,3,Beginner,281,26.7
R009517,45,Female,3,Advanced,218,20
R083454,64,Female,2,Beginner,340,27
R045622,20,Female,0,Advanced,,20
R029430,46,Male,2,Intermediate,250,20
R027030,43,Female,1,Beginner,249,20
R038029,41,Female,2,Intermediate,243,20
R035681,33,Male,0,Intermediate,,20
R014294,37,Male,2,Intermediate,207,38.6
R071027,61,Female,3,Advanced,191,23.9
R010990,38,Male,1,Beginner,288,20
R025891,59,Female,2,Beginner,292,20
R043293,26,Female,3,Beginner,229,30.6
R038842,54,Female,1,Intermediate,257,20
R080601,27,Female,1,Beginner,297,20
R063814,58,Female,2,Beginner,278,20
R073992,58,Male,3,Beginner,254,20
R037601,39,Female,4,Beginner,277,27.3
R016611,63,Female,1,Intermediate,261,20
R081118,38,Non-binary,3,Advanced,193,20
R094608,57,Male,1,Advanced,239,43.8
R051304,49,Male,4,Beginner,303,20
R031795,38,Male,0,Intermediate,,20
R017653,28,Female,2,Beginner,281,38.6
R005726,54,Female,5,Advanced,231,20
R010862,54,Female,2,Beginner,272,20
R044443,33,Female,1,Beginner,286,20
R081207,22,Male,2,Beginner,277,20
R068354,41,Female,2,Intermediate,296,20
R054782,19,Female,3,Beginner,266,20
R043735,37,Male,2,Beginner,297,28.2
R064614,59,Female,1,Advanced,214,20
R045832,26,Male,2,Beginner,287,20
R010051,30,Non-binary,2,Beginner,304,34.1
R028695,36,Female,5,Intermediate,216,20
R042517,50,Female,1,Intermediate,256,20
R015613,53,Female,3,Intermediate,237,47.5
R041248,30,Male,6,Beginner,302,20
R098244,40,Female,1,Beginner,288,27.4
R021648,64,Male,2,Beginner,270,20
R034269,50,Female,4,Intermediate,242,27.3
R038937,40,Male,2,Advanced,212,46.5
R073397,46,Female,1,Beginner,245,20
R035423,36,Female,3,Beginner,318,29.2
R098482,33,Female,1,Beginner,257,20
R070877,22,Male,5,Beginner,273,20
R030843,27,Female,0,Beginner,,22.1
R080038,32,Female,3,Intermediate,243,49.3
R021851,57,Female,0,Advanced,,54.7
R094611,37,Male,0,Advanced,,59.9
R087039,19,Male,1,Beginner,244,20.2
R050394,55,Male,0,Intermediate,,38.8
R024829,55,Male,2,Intermediate,221,33.4
R046263,52,Male,2,Intermediate,188,20
R022270,21,Male,2,Intermediate,243,23.8
R027058,61,Male,0,Beginner,,20
R043743,29,Female,1,Intermediate,271,46.8
R019169,20,Male,2,Intermediate,229,26.3
R056289,61,Female,0,Beginner,,21.5
R014824,40,Male,2,Intermediate,275,25.7
R052789,18,Male,0,Advanced,,36.6
R002567,36,Male,3,Beginner,331,20
R082885,30,Male,1,Advanced,164,65.3
R052039,39,Male,2,Intermediate,288,42
R062267,19,Female,0,Advanced,,31.9
R084472,37,Male,2,Intermediate,217,20
R069568,53,Female,3,Intermediate,228,20
R024573,53,Female,3,Advanced,243,42.5
R055288,28,Female,2,Advanced,286,62.6
R053316,48,Male,4,Beginner,230,20
R073126,56,Male,2,Intermediate,184,20
R080881,56,Male,3,Beginner,275,20
R008378,54,Female,3,Intermediate,267,20.3
R043712,44,Female,6,Beginner,282,29.6
R072453,56,Male,3,Advanced,216,50.7
R056246,65,Male,0,Beginner,,20
R004468,40,Male,0,Beginner,,24.9
R026187,20,Female,2,Intermediate,269,20
R097396,46,Male,3,Beginner,264,32.9
R052297,22,Female,0,Advanced,,32.7
R004327,20,Female,2,Intermediate,260,20
R077663,24,Female,5,Advanced,266,20
R035510,43,Female,0,Beginner,,23.9
R064510,39,Male,1,Advanced,218,20
R080308,54,Female,1,Intermediate,258,53
R070364,52,Female,2,Intermediate,278,20.5
R009561,29,Female,5,Beginner,272,20
R044078,54,Male,5,Intermediate,254,20
R057188,35,Non-binary,1,Beginner,238,20
R049922,18,Male,3,Intermediate,302,60
R054236,34,Male,2,Beginner,285,20
R043321,41,Non-binary,1,Intermediate,256,20
R074807,61,Female,3,Beginner,311,20
R096090,48,Female,1,Beginner,292,20
R006556,35,Male,2,Intermediate,240,104.4863524
R064806,30,Male,1,Beginner,281,41.8
R020281,36,Female,4,Beginner,287,20
R089626,21,Female,5,Beginner,309,21.5
R092129,37,Male,2,Beginner,295,104.7069763
R088471,41,Female,0,Beginner,,33.4
R066517,24,Female,2,Beginner,280,37.7
R093413,43,Male,2,Beginner,293,20
R008486,24,Male,1,Intermediate,229,20
R031350,33,Female,2,Beginner,272,21.4
R038503,32,Non-binary,1,Beginner,329,20
R019002,33,Male,2,Beginner,297,20
R025078,34,Female,1,Intermediate,249,31.8
R082542,56,Female,1,Advanced,207,20
R020779,27,Male,3,Beginner,284,23.3
R051562,58,Female,1,Beginner,277,20
R064824,20,Male,1,Intermediate,282,20
R009250,31,Male,3,Advanced,172,36.3
R081757,28,Female,5,Beginner,309,20
R091955,25,Male,2,Advanced,246,50.3
R087539,35,Female,1,Beginner,252,33.2
R003560,54,Female,4,Advanced,216,20.4
R037505,43,Female,3,Beginner,316,56.5
R069800,52,Male,1,Beginner,260,36.1
R094958,31,Female,6,Advanced,218,33.2
R066393,20,Female,2,Advanced,269,36.2
R096052,62,Male,5,Beginner,308,45.3
R014576,25,Male,2,Beginner,274,30.5
R095012,33,Female,3,Beginner,307,20
R003225,50,Female,4,Advanced,213,33.7
R046080,36,Female,4,Intermediate,254,57.6
R036328,65,Female,3,Intermediate,262,24
R022458,39,Male,2,Beginner,309,30.5
R054237,39,Non-binary,1,Advanced,236,20
R047090,34,Female,2,Intermediate,273,20
R034600,57,Female,2,Beginner,313,20
R064248,61,Male,2,Intermediate,275,20
R090363,28,Male,1,Beginner,348,20
R064427,33,Female,2,Advanced,213,20
R022712,48,Female,4,Advanced,206,20
R098701,32,Male,0,Beginner,,20
R045358,40,Female,1,Intermediate,272,38.9
R049977,38,Male,1,Beginner,261,20
R007760,45,Female,3,Beginner,272,39.2
R020394,48,Female,1,Beginner,260,20
R043902,26,Male,2,Intermediate,263,39.5
R015967,44,Male,1,Intermediate,237,21.9
R016169,51,Female,1,Beginner,308,20
R001644,57,Male,3,Advanced,247,23.7
R020843,33,Male,1,Beginner,253,20
R043913,39,Female,1,Beginner,264,20
R046088,25,Male,3,Intermediate,246,36.9
R027865,20,Female,2,Advanced,208,20
R015935,22,Male,0,Intermediate,,20
R096416,60,Female,3,Advanced,215,32.8
R020208,36,Female,1,Beginner,330,20
R053667,18,Male,2,Intermediate,250,20
R040818,38,Male,4,Beginner,278,20
R019496,54,Non-binary,2,Beginner,265,20
R051356,58,Female,3,Beginner,287,31.7
R084927,53,Male,2,Beginner,305,20
R019663,52,Female,3,Intermediate,298,20.5
R095361,27,Male,3,Intermediate,222,29.9
R081676,65,Male,2,Advanced,242,20
R022013,37,Male,2,Advanced,207,59.8
R091894,64,Non-binary,0,Intermediate,,48
R051242,50,Male,2,Intermediate,252,28.6
R034972,18,Male,1,Beginner,241,20
R036312,52,Female,3,Intermediate,237,20
R097709,28,Female,2,Beginner,301,48.1
R032615,21,Female,2,Intermediate,224,28.7
R031689,38,Male,2,Advanced,173,109.5786215
R001013,60,Male,2,Intermediate,219,20
R089330,37,Female,4,Intermediate,230,32
R050126,42,Male,1,Intermediate,254,35
R028806,64,Male,1,Intermediate,265,22.4
R045816,42,Male,2,Advanced,238,73.5
R052348,28,Male,1,Beginner,264,20
R014528,27,Female,0,Beginner,,30.4
R019114,55,Male,1,Beginner,300,21
R054144,55,Female,0,Beginner,,21.8
R080081,54,Non-binary,4,Beginner,305,28.3
R012634,29,Male,4,Beginner,292,20
R025834,47,Female,2,Beginner,303,20
R092752,23,Female,2,Advanced,209,54
R089234,64,Female,3,Intermediate,245,20
R063093,62,Male,2,Beginner,298,43.4
R077426,58,Female,1,Beginner,272,21.3
R063192,50,Male,1,Intermediate,233,20
R020664,55,Male,2,Advanced,257,62.4
R047612,38,Female,1,Advanced,194,47.7
R051933,38,Male,0,Beginner,,20
R022342,47,Female,2,Intermediate,212,53.6
R049279,18,Female,0,Beginner,,20
R024250,40,Male,1,Intermediate,265,20
R054871,58,Female,2,Beginner,249,27.7
R082749,33,Female,2,Intermediate,238,56.7
R094839,63,Female,2,Beginner,312,31.1
R085444,48,Male,2,Beginner,270,20
R095325,32,Male,2,Beginner,288,20
R093996,21,Male,1,Intermediate,240,33.9
R005027,54,Non-binary,2,Advanced,220,20
R047497,63,Female,2,Beginner,291,39.4
R063069,25,Female,2,Intermediate,276,20
R006903,49,Male,2,Intermediate,255,110.7082508
R030884,24,Male,0,Beginner,,20
R078834,35,Female,4,Intermediate,249,35.3
R036889,40,Male,3,Beginner,259,20
R033261,42,Female,3,Beginner,274,20
R058504,32,Non-binary,0,Beginner,,21
R057165,20,Female,1,Advanced,250,42.3
R099019,57,Male,4,Beginner,276,20
R003993,27,Male,2,Beginner,272,20
R040991,30,Female,2,Beginner,288,20
R040848,60,Male,1,Beginner,309,39.2
R093939,24,Male,4,Beginner,297,28.1
R043821,47,Non-binary,3,Intermediate,232,20
R020662,65,Female,2,Beginner,270,46.1
R072328,36,Male,1,Advanced,215,20
R010290,55,Male,3,Intermediate,225,20
R062653,35,Non-binary,1,Advanced,214,87.9
R069354,38,Female,1,Beginner,222,38.5
R021261,48,Male,0,Intermediate,,44.3
R079201,53,Female,0,Beginner,,20
R088784,43,Male,3,Beginner,305,20
R012018,35,Female,3,Beginner,273,20
R027367,40,Female,3,Beginner,350,20
R026633,23,Female,3,Intermediate,243,20.1
R052817,52,Female,1,Intermediate,277,101.0415585
R011478,24,Male,1,Advanced,180,117.0299894
R028601,51,Female,1,Beginner,229,20
R062984,41,Female,4,Intermediate,260,22.2
R074180,20,Male,2,Intermediate,230,20
R006783,30,Female,2,Beginner,302,20
R016505,18,Female,0,Beginner,,20
R084401,65,Male,1,Beginner,281,24.9
R078030,62,Female,0,Beginner,,30.9
R052930,53,Female,1,Intermediate,259,28.8
R071670,23,Female,1,Beginner,294,36
R063403,53,Male,2,Advanced,196,29.8
R029868,49,Male,4,Intermediate,250,37
R021106,27,Male,0,Intermediate,,25.7
R038542,62,Non-binary,1,Beginner,273,20
R047585,50,Male,2,Beginner,298,20
R091636,22,Male,4,Beginner,296,20
R018439,54,Female,1,Beginner,287,20
R039449,28,Male,0,Beginner,,28.4
R063011,44,Male,2,Beginner,244,20
R041965,46,Male,1,Advanced,195,20
R056347,43,Female,3,Beginner,294,20
R062260,58,Female,1,Beginner,279,20
R025226,58,Male,3,Beginner,304,20
R034881,20,Female,2,Intermediate,246,29.5
R050446,37,Female,2,Beginner,308,20
R032581,25,Female,2,Advanced,192,20
R052333,36,Male,0,Beginner,,20
R025581,24,Female,2,Advanced,213,20.1
R087696,54,Male,3,Advanced,208,101.2859169
R018983,39,Female,5,Beginner,280,30.7
R073290,39,Female,2,Beginner,320,20
R002606,27,Female,2,Advanced,259,35.9
R039721,47,Male,2,Advanced,248,53.1
R025279,56,Male,2,Beginner,326,20
R028453,57,Female,3,Advanced,242,20
R071235,51,Female,0,Advanced,,20
R018369,64,Male,0,Intermediate,,50.5
R021838,57,Female,1,Advanced,227,33.9
R070604,21,Female,1,Advanced,262,20
R054111,30,Female,2,Intermediate,213,29.1
R079445,33,Male,0,Advanced,,43.4
R071105,38,Male,1,Beginner,279,114.0297893
R071004,56,Female,2,Beginner,294,36.3
R078241,33,Male,2,Intermediate,274,34.2
R044202,65,Male,3,Beginner,312,26.3
R080880,47,Male,3,Beginner,263,22.7
R043022,19,Female,5,Intermediate,245,32.8
R049543,37,Male,2,Intermediate,232,26
R079922,29,Male,0,Intermediate,,47
R036529,22,Female,2,Advanced,209,33.8
R095362,62,Male,2,Beginner,314,20.7
R000047,26,Female,0,Intermediate,,25.3
R086118,58,Female,1,Beginner,255,20
R014250,52,Female,3,Beginner,313,41.8
R049193,64,Female,3,Beginner,266,26.6
R053705,26,Female,3,Beginner,272,37.8
R004425,20,Male,0,Beginner,,101.8838425
R051088,40,Male,1,Advanced,220,26.7
R093197,27,Female,3,Intermediate,265,32
R075122,46,Male,2,Beginner,270,20
R084903,30,Male,1,Intermediate,248,27.9
R056110,63,Female,2,Advanced,198,20
R023937,65,Female,3,Beginner,263,105.482936
R003604,32,Female,3,Intermediate,261,20
R017558,30,Male,1,Beginner,274,20
R049396,40,Male,4,Beginner,287,20
R078302,27,Male,1,Beginner,282,20
R046048,36,Male,4,Beginner,275,20
R055536,38,Male,1,Beginner,269,41.5
R003375,39,Male,2,Advanced,192,20
R053621,44,Female,1,Beginner,316,20
R097485,41,Male,2,Beginner,304,27.7
R091782,53,Female,1,Advanced,241,35.3
R019636,47,Male,2,Beginner,276,20
R041144,49,Male,2,Beginner,261,20
R082211,40,Female,3,Intermediate,278,20
R057769,42,Female,3,Intermediate,243,20
R072850,19,Female,2,Advanced,208,113.398919
R042292,56,Male,2,Advanced,182,33
R002975,45,Male,4,Beginner,323,31.2
R012126,63,Male,2,Intermediate,249,21.2
R081596,23,Male,2,Beginner,345,20
R030890,22,Male,2,Beginner,256,24.2
R054191,45,Male,3,Beginner,356,20
R009945,39,Female,3,Intermediate,242,20
R017768,51,Male,2,Intermediate,296,39.5
R049461,44,Male,4,Advanced,244,49.2
R080372,35,Female,1,Intermediate,274,20
R091959,54,Male,5,Intermediate,245,24.2
R074692,57,Non-binary,2,Beginner,277,20
R032145,63,Male,0,Advanced,,35.2
R025002,37,Male,1,Beginner,245,22.4
R061405,42,Non-binary,2,Intermediate,252,20
R046842,41,Male,2,Advanced,219,22.6
R075470,57,Male,1,Beginner,267,20
R004032,58,Female,2,Beginner,242,20
R087054,62,Male,4,Intermediate,275,20
R064827,26,Female,0,Advanced,,21.2
R063466,57,Female,3,Intermediate,255,20
R066650,25,Female,1,Advanced,214,22.4
R093908,22,Female,1,Beginner,296,47.9
R012011,35,Male,2,Intermediate,298,31.1
R008713,43,Male,1,Beginner,317,31.3
R060503,18,Female,1,Intermediate,258,20
R024615,50,Female,2,Advanced,206,25.3
R025389,51,Male,5,Beginner,230,38.9
R007787,40,Male,2,Beginner,286,20
R089436,27,Female,3,Beginner,340,20
R060242,38,Female,0,Intermediate,,26.8
R057974,41,Male,0,Advanced,,20
R082282,28,Female,0,Advanced,,20
R037921,62,Female,2,Beginner,248,20
R026024,59,Male,1,Beginner,304,20
R040181,61,Female,3,Intermediate,245,58.7
R030498,48,Female,3,Intermediate,292,24.4
R087606,49,Male,2,Intermediate,238,31.5
R050932,21,Female,1,Advanced,232,72.3
R014648,49,Male,1,Intermediate,244,51.7
R083778,56,Female,1,Advanced,205,30
R013581,42,Female,2,Beginner,283,41.2
R042953,32,Female,4,Beginner,273,20
R086745,20,Female,2,Beginner,288,110.4539621
R070819,28,Male,2,Advanced,231,32.5
R029716,60,Female,1,Beginner,340,20
R093297,52,Male,1,Beginner,257,20
